Type,Min,Max,Centroid_Price,Std_Internal,Strength,Zone_Boundary,Norm_Distance,Current_Price,Score,Ranking
Resistance,64,67,66,1.67,6,66.0,0.0645,62.0,80.52,1
Resistance,75,79,77,1.98,17,77.0,0.2419,62.0,67.48,2
Resistance,69,72,71,1.55,6,71.0,0.1452,62.0,38.67,3
Resistance,81,86,83,2.22,7,83.0,0.3387,62.0,20.07,4
Resistance,89,97,93,3.61,3,93.0,0.5,62.0,5.88,5
Support,59,60,59,0.58,3,59.0,0.0484,62.0,51.38,1
Support,50,51,51,0.53,7,51.0,0.1774,62.0,37.35,2
Support,56,57,57,0.58,3,57.0,0.0806,62.0,33.1,3
Support,53,53,53,0.26,5,53.0,0.1452,62.0,32.22,4
Support,55,55,55,0.0,3,55.0,0.1129,62.0,24.41,5
